"Periodo","CSE","MOV2","SUB","USM","CDAR","TUN","FTB","USQ","GYR","KEN","LFR","MAM","PTE","CBV","JAZ","BOL","BOS","COL","SCR","MOV"
"2017-11","78","N/A","51","N/A","40","55","N/A","53","32","63","50","N/A","61","N/A","N/A","N/A","N/A","N/A","36","N/A"
"2017-12","65","N/A","54","N/A","36","42","N/A","45","36","57","45","N/A","52","N/A","N/A","N/A","N/A","N/A","34","N/A"
"2018-01","66","N/A","48","N/A","29","39","N/A","38","32","54","38","N/A","46","N/A","N/A","N/A","N/A","N/A","26","N/A"
"2018-02","70","N/A","60","N/A","41","56","N/A","60","42","65","56","N/A","61","N/A","N/A","N/A","N/A","N/A","40","N/A"
"2018-03","72","N/A","54","N/A","35","50","N/A","52","36","58","46","N/A","59","N/A","N/A","N/A","N/A","N/A","37","N/A"
"2018-04","74","N/A","45","N/A","31","47","N/A","44","25","52","36","34","50","N/A","N/A","N/A","N/A","N/A","35","N/A"
"2018-05","N/A","N/A","41","N/A","N/A","29","N/A","34","22","49","27","29","40","N/A","N/A","N/A","N/A","N/A","27","N/A"
"2018-06","64","N/A","39","N/A","N/A","24","N/A","27","18","41","16","21","29","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2018-07","62","N/A","41","N/A","15","26","N/A","39","22","41","17","21","27","N/A","N/A","N/A","N/A","N/A","20","N/A"
"2018-08","65","N/A","46","N/A","15","25","N/A","36","27","50","15","19","25","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2018-09","70","N/A","43","N/A","28","35","N/A","44","31","52","29","26","38","N/A","N/A","N/A","N/A","N/A","21","N/A"
"2018-10","74","N/A","N/A","N/A","32","43","N/A","31","28","46","36","33","44","N/A","N/A","N/A","N/A","N/A","27","N/A"
"2018-11","78","N/A","45","N/A","34","44","N/A","32","N/A","50","39","33","52","N/A","N/A","N/A","N/A","N/A","28","N/A"
"2018-12","66","N/A","53","N/A","30","39","40","28","28","50","32","33","48","N/A","N/A","N/A","N/A","N/A","22","N/A"
"2019-01","65","N/A","51","N/A","29","33","37","32","24","44","32","32","41","N/A","N/A","N/A","N/A","N/A","27","N/A"
"2019-02","N/A","N/A","61","N/A","47","45","53","42","37","60","45","39","59","N/A","N/A","N/A","N/A","N/A","37","N/A"
"2019-03","N/A","N/A","58","N/A","45","46","55","44","37","59","47","40","57","N/A","N/A","N/A","N/A","N/A","39","N/A"
"2019-04","63","N/A","42","N/A","33","39","40","32","25","45","34","34","44","N/A","N/A","N/A","N/A","N/A","28","N/A"
"2019-05","61","N/A","38","N/A","25","32","33","31","21","42","28","27","40","N/A","N/A","N/A","N/A","N/A","21","N/A"
"2019-06","51","N/A","31","N/A","14","21","25","13","16","30","16","18","23","N/A","N/A","N/A","N/A","N/A","13","N/A"
"2019-07","56","N/A","39","N/A","17","23","29","14","18","32","17","19","22","N/A","N/A","N/A","N/A","N/A","16","N/A"
"2019-08","50","N/A","45","N/A","18","24","31","17","22","34","20","22","24","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2019-09","43","N/A","44","N/A","25","26","35","19","22","39","26","31","36","N/A","N/A","N/A","N/A","N/A","20","N/A"
"2019-10","49","N/A","46","N/A","27","34","38","17","24","56","26","29","45","N/A","N/A","N/A","N/A","N/A","25","N/A"
